(node:36723) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
{"wave":0,"hp":100,"maxHp":100,"level":1,"gold":0,"threats":0,"worksHp":0,"works":{},"needsRider":false,"failures":[]}
{"wave":1,"hp":100,"maxHp":100,"level":1,"gold":30,"threats":8,"worksHp":0,"works":{},"needsRider":false,"failures":[]}
{"wave":2,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":40,"threats":9,"worksHp":50,"works":{"turret":1},"needsRider":false,"failures":[]}
{"wave":3,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":70,"threats":9,"worksHp":50,"works":{"turret":1},"needsRider":false,"failures":[]}
{"wave":4,"hp":96.80000000000001,"maxHp":100,"level":2,"gold":30,"threats":12,"worksHp":100,"works":{"turret":2},"needsRider":false,"failures":[]}
{"wave":5,"hp":146.8,"maxHp":150,"level":4,"gold":90,"threats":12,"worksHp":100,"works":{"turret":2},"needsRider":false,"failures":[]}
{"wave":6,"hp":171.8,"maxHp":175,"level":6,"gold":65,"threats":16,"worksHp":150,"works":{"turret":3},"needsRider":false,"failures":[]}
{"wave":7,"hp":171.8,"maxHp":175,"level":8,"gold":145,"threats":16,"worksHp":150,"works":{"turret":3},"needsRider":false,"failures":[]}
{"wave":8,"hp":171.8,"maxHp":175,"level":10,"gold":40,"threats":17,"worksHp":320,"works":{"sentry_beacon":2,"turret":4},"needsRider":false,"failures":[]}
{"wave":9,"hp":171.8,"maxHp":175,"level":12,"gold":75,"threats":22,"worksHp":378,"works":{"sentry_beacon":3,"turret":4},"needsRider":false,"failures":[]}
{"wave":10,"hp":171.8,"maxHp":175,"level":14,"gold":65,"threats":22,"worksHp":506,"works":{"sentry_beacon":5,"turret":4},"needsRider":false,"failures":[]}
{"wave":11,"hp":171.8,"maxHp":175,"level":15,"gold":50,"threats":25,"worksHp":576,"works":{"sentry_beacon":6,"turret":4},"needsRider":false,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":14,"worksHp":1928,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":12,"worksHp":1920,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":12,"worksHp":1912,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":10,"worksHp":1904,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":9,"worksHp":1896,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":9,"worksHp":1888,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":10,"worksHp":1880,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":10,"worksHp":1872,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":4,"threats":10,"worksHp":1864,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":1,"threats":11,"worksHp":1944,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":19,"gold":1,"threats":12,"worksHp":1936,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":20,"gold":1,"threats":13,"worksHp":1928,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":20,"gold":1,"threats":13,"worksHp":1920,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":13,"hp":171.8,"maxHp":175,"level":20,"gold":1,"threats":13,"worksHp":1912,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":14,"hp":171.8,"maxHp":175,"level":20,"gold":0,"threats":30,"worksHp":1952,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":false,"failures":[]}
{"wave":14,"hp":171.8,"maxHp":175,"level":21,"gold":50,"threats":22,"worksHp":1944,"works":{"sentry_beacon":6,"palisade":12,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":21,"gold":10,"threats":29,"worksHp":2472,"works":{"sentry_beacon":6,"palisade":16,"turret":4},"needsRider":false,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":35,"worksHp":2604,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":35,"worksHp":2596,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":35,"worksHp":2580,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":34,"worksHp":2572,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":34,"worksHp":2564,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":34,"worksHp":2548,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":33,"worksHp":2540,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":33,"worksHp":2532,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":33,"worksHp":2516,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":31,"worksHp":2508,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":30,"worksHp":2500,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":29,"worksHp":2484,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":27,"worksHp":2476,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":27,"worksHp":2468,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":25,"worksHp":2452,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":23,"worksHp":2444,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":22,"worksHp":2436,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":23,"worksHp":2420,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":21,"worksHp":2412,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":50,"threats":22,"worksHp":2404,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":22,"worksHp":2492,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":18,"worksHp":2484,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":19,"worksHp":2476,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":19,"worksHp":2460,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":19,"worksHp":2452,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":19,"worksHp":2444,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":19,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":18,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":47,"threats":18,"worksHp":2416,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":18,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":17,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":17,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":17,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":16,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":45,"threats":15,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":14,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":15,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":14,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":14,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":15,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":43,"threats":15,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":14,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":15,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":14,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":33,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":false,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":33,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":33,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":32,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":41,"threats":32,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":39,"threats":32,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":39,"threats":32,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":39,"threats":30,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":22,"gold":39,"threats":30,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":39,"threats":29,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"offer":["wide_ring","spring_heels","pan_legend"],"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":39,"threats":29,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"offer":["wide_ring","spring_heels","pan_legend"],"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":26,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":26,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":23,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":23,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":20,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":37,"threats":18,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":16,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":14,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":28,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":29,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":28,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":35,"threats":27,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":27,"worksHp":2464,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":27,"worksHp":2456,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2448,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2416,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2408,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":33,"threats":26,"worksHp":2400,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":31,"threats":26,"worksHp":2440,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":31,"threats":26,"worksHp":2432,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
{"wave":16,"hp":171.8,"maxHp":175,"level":23,"gold":31,"threats":26,"worksHp":2424,"works":{"sentry_beacon":6,"palisade":17,"turret":4},"needsRider":true,"failures":[]}
