fixture-teardown-tally: 162 fixture owners (the sweep's subject set), jobs 1, 1005 s
OFFENDERS (children that left a temp dir behind): 1
  scripts/status-line1-future-stamp-scope-guard.test.mjs: 6 [s2677-stamp-7Fs7JY, s2677-stamp-Anbabg, s2677-stamp-DSoyFe, s2677-stamp-Oo7X43, s2677-stamp-VosS6j, s2677-stamp-cdN4r4]
CHILDREN THAT DID NOT EXIT 0 (reported, not scored): 3
  scripts/bench-seeds.test.mjs: rc 1, 1 of 4 failed: rotation registry stays outside the engine identity corpus
  scripts/desk-declaration-guard.test.mjs: rc 1, 1 of 28 failed: the live board is green under this guard (baseline is honest)
  scripts/engine-era-guard.test.mjs: rc 1, 1 of 5 failed: the landed registry names the live engine and stays outside its hash corpus
scratch entries matching no declared prefix: scripts/guard-stats-persistence.test.mjs [node-compile-cache]; scripts/node-guards-contention.test.mjs [node-guards-tap-EPx6pq]; scripts/run-guards.test.mjs [node-compile-cache]; scripts/status-archive-empty-corpus-guard.test.mjs [s2337-blobmiss-TyP9XZ, s2337-clean-kfDf9t, s2337-drop-IZXy8j, s2337-drop-R9QGFJ, s2337-drop-oL4oJY, s2337-rootonly-82Lsh2, s2337-rootonly-XEGGk0, s2337-shim-B93Qoi, s2337-shim-iMKEL3, s2337-untracked-GnVh3M, s2337-untracked-UgEDTT, s2337-untracked-oqbATZ]; scripts/town-spec-collection.test.mjs [node-compile-cache, playwright-transform-cache-501]; scripts/whole-suite-collection.test.mjs [node-compile-cache, playwright-transform-cache-501]
per child: name | rc | tests | survivors | seconds
  scripts/bench-seeds.test.mjs | 1 | 4 | 0 | 0
  scripts/block-class-guard-worktree.test.mjs | 0 | 5 | 0 | 2
  scripts/blocker-panel-classifiable-guard.test.mjs | 0 | 6 | 0 | 1
  scripts/blocker-panel-closed-guard.test.mjs | 0 | 7 | 0 | 1
  scripts/board-tape-gold.test.mjs | 0 | 4 | 0 | 30
  scripts/census-bucket-ownership-guard.test.mjs | 0 | 10 | 0 | 3
  scripts/census-could-not-answer-split-guard.test.mjs | 0 | 14 | 0 | 3
  scripts/citation-title-guard.test.mjs | 0 | 18 | 0 | 3
  scripts/claimed-spec-harness-guard.test.mjs | 0 | 15 | 0 | 1
  scripts/collection-guards-subject-set-guard.test.mjs | 0 | 9 | 0 | 1
  scripts/corpus-tree-unverifiable-guard.test.mjs | 0 | 9 | 0 | 3
  scripts/deploy-budget.test.mjs | 0 | 28 | 0 | 12
  scripts/deploy-mirror-allowlist.test.mjs | 0 | 1 | 0 | 1
  scripts/deshadow-key.test.mjs | 0 | 1 | 0 | 0
  scripts/desk-birth-gateless-row-guard.test.mjs | 0 | 12 | 0 | 1
  scripts/desk-birth-prefix-token-guard.test.mjs | 0 | 17 | 0 | 0
  scripts/desk-birth-row-denominator-guard.test.mjs | 0 | 10 | 0 | 1
  scripts/desk-birth-window-start-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/desk-carryforward-guard.test.mjs | 0 | 29 | 0 | 1
  scripts/desk-carryforward-worktree-guard.test.mjs | 0 | 10 | 0 | 2
  scripts/desk-declaration-guard.test.mjs | 1 | 28 | 0 | 2
  scripts/desk-declaration-segment-denominator-guard.test.mjs | 0 | 10 | 0 | 0
  scripts/desk-detached-head-guard.test.mjs | 0 | 9 | 0 | 2
  scripts/desk-family-worktree-guard.test.mjs | 0 | 11 | 0 | 3
  scripts/desk-frozen-tree-unverifiable-guard.test.mjs | 0 | 11 | 0 | 4
  scripts/desk-lock-predicate-guard.test.mjs | 0 | 8 | 0 | 0
  scripts/desk-row-key-token-guard.test.mjs | 0 | 8 | 0 | 0
  scripts/desk-state-audit.test.mjs | 0 | 12 | 0 | 0
  scripts/desk-status-single-read-guard.test.mjs | 0 | 10 | 0 | 3
  scripts/desk-tail-anchor-guard.test.mjs | 0 | 10 | 0 | 0
  scripts/desk-unrecorded-mention-guard.test.mjs | 0 | 12 | 0 | 0
  scripts/despill-cutout.test.mjs | 0 | 1 | 0 | 0
  scripts/detached-head-instruments-guard.test.mjs | 0 | 10 | 0 | 3
  scripts/dispatch-corpus-guard.test.mjs | 0 | 8 | 0 | 1
  scripts/drain-block-ancestry-guard.test.mjs | 0 | 6 | 0 | 2
  scripts/drain-block-check.test.mjs | 0 | 23 | 0 | 4
  scripts/drain-block-queue-nearmiss-guard.test.mjs | 0 | 10 | 0 | 1
  scripts/drain-block-subject-divergence-guard.test.mjs | 0 | 13 | 0 | 1
  scripts/drain-block-worktree-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/dry-board-advisory-prescription-guard.test.mjs | 0 | 9 | 0 | 0
  scripts/dry-board-bucket-verdict-guard.test.mjs | 0 | 9 | 0 | 0
  scripts/dry-board-detached-head-guard.test.mjs | 0 | 9 | 0 | 2
  scripts/dry-board-probe-corpus-guard.test.mjs | 0 | 10 | 0 | 1
  scripts/dry-board-probe-worktree-guard.test.mjs | 0 | 6 | 0 | 1
  scripts/dry-board-probe.test.mjs | 0 | 22 | 0 | 2
  scripts/dry-board-sibling-refusal-banner-guard.test.mjs | 0 | 7 | 0 | 0
  scripts/dry-board-sibling-refusal-guard.test.mjs | 0 | 10 | 0 | 0
  scripts/edge-alarm-clock-guard.test.mjs | 0 | 9 | 0 | 18
  scripts/edge-probe-composite-guard.test.mjs | 0 | 7 | 0 | 9
  scripts/engine-era-guard.test.mjs | 1 | 5 | 0 | 0
  scripts/evidence-archive-buckets.test.mjs | 0 | 10 | 0 | 3
  scripts/evidence-budget.test.mjs | 0 | 14 | 0 | 4
  scripts/evidence-offload.test.mjs | 0 | 16 | 0 | 7
  scripts/evidence-readers.test.mjs | 0 | 17 | 0 | 3
  scripts/f2135-canyon-census-player.test.mjs | 0 | 4 | 0 | 0
  scripts/findings-state-guard.test.mjs | 0 | 9 | 0 | 0
  scripts/fixture-corpus-copy-guard.test.mjs | 0 | 13 | 0 | 0
  scripts/foundry-kit-token-derivation-guard.test.mjs | 0 | 7 | 0 | 6
  scripts/frontier-registry.test.mjs | 0 | 3 | 0 | 0
  scripts/gate-battery.test.mjs | 0 | 17 | 0 | 1
  scripts/gate-caller-audit.test.mjs | 0 | 45 | 0 | 7
  scripts/gazette-weekly-budget-guard.test.mjs | 0 | 13 | 0 | 2
  scripts/ghost-ladder-evidence-source-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/ghost-ladder-row-guard.test.mjs | 0 | 4 | 0 | 0
  scripts/ghost-ladder-subject-set-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/ghost-ladder-worktree-guard.test.mjs | 0 | 10 | 0 | 2
  scripts/glb-contract-guard.test.mjs | 0 | 23 | 0 | 4
  scripts/goal-tracker.test.mjs | 0 | 2 | 0 | 73
  scripts/gr-sim-campaign.test.mjs | 0 | 6 | 0 | 21
  scripts/gr-sim-resume-tape-safety.test.mjs | 0 | 2 | 0 | 15
  scripts/gr-sim.test.mjs | 0 | 24 | 0 | 368
  scripts/grid-centres.test.mjs | 0 | 1 | 0 | 1
  scripts/grid-origin.test.mjs | 0 | 1 | 0 | 0
  scripts/guard-source-snapshot-race-guard.test.mjs | 0 | 6 | 0 | 0
  scripts/guard-stats-persistence.test.mjs | 0 | 11 | 0 | 3
  scripts/guard-stats-test-isolation-guard.test.mjs | 0 | 8 | 0 | 0
  scripts/health-watch-agents.test.mjs | 0 | 2 | 0 | 3
  scripts/is-main.test.mjs | 0 | 7 | 0 | 0
  scripts/lane-usable-busy-self.test.mjs | 0 | 7 | 0 | 1
  scripts/lane-usable-dirt-durability-guard.test.mjs | 0 | 18 | 0 | 2
  scripts/lane-usable-fleet-coverage-guard.test.mjs | 0 | 14 | 0 | 4
  scripts/lane-usable-gate-leaf-surface-guard.test.mjs | 0 | 10 | 0 | 3
  scripts/lane-usable-pathspec-root-guard.test.mjs | 0 | 6 | 0 | 3
  scripts/lane-usable-stale-pid-guard.test.mjs | 0 | 11 | 0 | 1
  scripts/lane-usable-untracked-files-guard.test.mjs | 0 | 9 | 0 | 2
  scripts/law-pointer-guard.test.mjs | 0 | 22 | 0 | 2
  scripts/ledger-backup-fill-gaps-guard.test.mjs | 0 | 8 | 0 | 5
  scripts/ledger-backup-pull.test.mjs | 0 | 2 | 0 | 0
  scripts/ledger-mirror-column-class-guard.test.mjs | 0 | 10 | 0 | 0
  scripts/ledger-mirror-exposure-guard.test.mjs | 0 | 23 | 0 | 1
  scripts/ledger-mirror-freshness-guard.test.mjs | 0 | 25 | 0 | 1
  scripts/ledger-pull-supply-window-guard.test.mjs | 0 | 6 | 0 | 1
  scripts/master-shipped-classifier.test.mjs | 0 | 12 | 0 | 1
  scripts/master-shipped-crash-exit-guard.test.mjs | 0 | 6 | 0 | 1
  scripts/master-shipped-goals-source-guard.test.mjs | 0 | 8 | 0 | 1
  scripts/master-shipped-review-source-guard.test.mjs | 0 | 6 | 0 | 2
  scripts/master-shipped-worktree-guard.test.mjs | 0 | 8 | 0 | 2
  scripts/modified-tracked-evidence-census-guard.test.mjs | 0 | 22 | 0 | 7
  scripts/no-emdash-scan-space-guard.test.mjs | 0 | 8 | 0 | 0
  scripts/node-guards-contention.test.mjs | 0 | 1 | 0 | 3
  scripts/node-guards-signal-retry.test.mjs | 0 | 3 | 0 | 1
  scripts/node-guards-timeout.test.mjs | 0 | 2 | 0 | 4
  scripts/node-guards-watchdog.test.mjs | 0 | 3 | 0 | 23
  scripts/nul-audit-corpus-guard.test.mjs | 0 | 10 | 0 | 2
  scripts/nul-audit-subject-scope-guard.test.mjs | 0 | 8 | 0 | 1
  scripts/null-floor-compare-guard.test.mjs | 0 | 11 | 0 | 1
  scripts/red-inventory-lookup.test.mjs | 0 | 18 | 0 | 2
  scripts/refusal-reason-corpus-guard.test.mjs | 0 | 13 | 0 | 0
  scripts/review-evidence-audit.test.mjs | 0 | 6 | 0 | 1
  scripts/review-evidence-crash-exit-guard.test.mjs | 0 | 6 | 0 | 1
  scripts/review-evidence-scan-space-guard.test.mjs | 0 | 8 | 0 | 1
  scripts/rgba-resample.test.mjs | 0 | 1 | 0 | 0
  scripts/rider-parity-context-press.test.mjs | 0 | 5 | 0 | 0
  scripts/rider-parity-reach.test.mjs | 0 | 9 | 0 | 0
  scripts/run-guards.test.mjs | 0 | 12 | 0 | 10
  scripts/runner-env-provenance-guard.test.mjs | 0 | 8 | 0 | 0
  scripts/salvage-art-staging-reach.test.mjs | 0 | 21 | 0 | 4
  scripts/secure-choice-refusal.test.mjs | 0 | 2 | 0 | 36
  scripts/site-contract.test.mjs | 0 | 7 | 0 | 0
  scripts/skillmd-contracts-guard.test.mjs | 0 | 4 | 0 | 0
  scripts/skillmd-guard.test.mjs | 0 | 19 | 0 | 13
  scripts/source-pointer-guard.test.mjs | 0 | 14 | 0 | 1
  scripts/spawn-census-mask-regex-guard.test.mjs | 0 | 7 | 0 | 0
  scripts/sprite-cell-url-inlining.test.mjs | 0 | 4 | 0 | 0
  scripts/status-archive-abridged-declaration-guard.test.mjs | 0 | 11 | 0 | 3
  scripts/status-archive-arg-guard.test.mjs | 0 | 12 | 0 | 25
  scripts/status-archive-empty-corpus-guard.test.mjs | 0 | 9 | 0 | 8
  scripts/status-archive-supersession-guard.test.mjs | 0 | 10 | 0 | 2
  scripts/status-line1-desk-displacement-guard.test.mjs | 0 | 10 | 0 | 0
  scripts/status-line1-future-stamp-scope-guard.test.mjs | 0 | 6 | 6 | 0
  scripts/status-rotate-month.test.mjs | 0 | 9 | 0 | 0
  scripts/stream-curate.test.mjs | 0 | 2 | 0 | 0
  scripts/stream-showcase-queue.test.mjs | 0 | 3 | 0 | 0
  scripts/subject-tree.test.mjs | 0 | 7 | 0 | 0
  scripts/suite-red-inventory.test.mjs | 0 | 15 | 0 | 3
  scripts/town-spec-collection.test.mjs | 0 | 1 | 0 | 1
  scripts/untracked-evidence-durability-guard.test.mjs | 0 | 23 | 0 | 9
  scripts/view-schema-guard.test.mjs | 0 | 4 | 0 | 2
  scripts/whole-suite-collection.test.mjs | 0 | 1 | 0 | 6
  scripts/withheld-evidence-audit-guard.test.mjs | 0 | 11 | 0 | 2
  scripts/worktree-registry-ledger-guard.test.mjs | 0 | 20 | 0 | 5
